title;url
Архитектор информационных систем (ERP);https://novosibirsk.hh.ru/vacancy/84083984?from=vacancy_search_list&query=python
Senior .Net Developer;https://novosibirsk.hh.ru/vacancy/84285883?from=vacancy_search_list&query=python
Инженер-системотехник;https://novosibirsk.hh.ru/vacancy/84022015?from=vacancy_search_list&query=python
Педагог (наставник) школы программирования;https://novosibirsk.hh.ru/vacancy/84000155?from=vacancy_search_list&query=python
QA mobile / Инженер по тестированию (manual/auto) в Тинькофф Мобильный Банк;https://novosibirsk.hh.ru/vacancy/76266216?from=vacancy_search_list&query=python
Продуктовый аналитик в команду лояльности;https://novosibirsk.hh.ru/vacancy/83607990?from=vacancy_search_list&query=python
IT Project Manager / Руководитель IT - проектов;https://novosibirsk.hh.ru/vacancy/84164508?from=vacancy_search_list&query=python
Java-разработчик в Layer Service;https://novosibirsk.hh.ru/vacancy/83647572?from=vacancy_search_list&query=python
Ведущий инженер Linux;https://novosibirsk.hh.ru/vacancy/82308567?from=vacancy_search_list&query=python
Разработчик Oracle (PL/SQL);https://novosibirsk.hh.ru/vacancy/82091104?from=vacancy_search_list&query=python
